Tournament,Stage,Group,Home,Away,Score,HomeScore,AwayScore,ExtraTime,GoldenGoal,Penalties,HomePKs,AwayPKs,Winner,Referee,Location,Attendance,Date,Time
France 1998,Group Stage,A,Brazil,Scotland,2-1,2,1,False,False,False,,,Brazil,José María García-Aranda,Stade de France,"80,000",10 June 1998,17:30
France 1998,Group Stage,A,Morocco,Norway,2-2,2,2,False,False,False,,,Draw,Pirom Un-prasert,Stade de la Mosson,"29,800",10 June 1998,21:00
France 1998,Group Stage,A,Scotland,Norway,1-1,1,1,False,False,False,,,Draw,László Vágner,Parc Lescure,"31,800",16 June 1998,17:30
France 1998,Group Stage,A,Brazil,Morocco,3-0,3,0,False,False,False,,,Brazil,Nikolai Levnikov,Stade de la Beaujoire,"35,500",16 June 1998,21:00
France 1998,Group Stage,A,Scotland,Morocco,0-3,0,3,False,False,False,,,Morocco,Ali Bujsaim,Stade Geoffroy-Guichard,"30,600",23 June 1998,21:00
France 1998,Group Stage,A,Brazil,Norway,1-2,1,2,False,False,False,,,Norway,Esfandiar Baharmast,Stade Vélodrome,"55,000",23 June 1998,21:00
France 1998,Group Stage,B,Italy,Chile,2-2,2,2,False,False,False,,,Draw,Lucien Bouchardeau,Parc Lescure,"31,800",11 June 1998,17:30
France 1998,Group Stage,B,Cameroon,Austria,1-1,1,1,False,False,False,,,Draw,Epifanio González,Stade de Toulouse,"33,500",11 June 1998,21:00
France 1998,Group Stage,B,Chile,Austria,1-1,1,1,False,False,False,,,Draw,Gamal Al-Ghandour,Stade Geoffroy-Guichard,"30,600",17 June 1998,17:30
France 1998,Group Stage,B,Italy,Cameroon,3-0,3,0,False,False,False,,,Italy,Eddie Lennie,Stade de la Mosson,"29,800",17 June 1998,21:00
France 1998,Group Stage,B,Italy,Austria,2-1,2,1,False,False,False,,,Italy,Paul Durkin,Stade de France,"80,000",23 June 1998,16:00
France 1998,Group Stage,B,Chile,Cameroon,1-1,1,1,False,False,False,,,Draw,László Vágner,Stade de la Beaujoire,"35,500",23 June 1998,16:00
France 1998,Group Stage,C,Saudi Arabia,Denmark,0-1,0,1,False,False,False,,,Denmark,Javier Castrilli,Stade Félix Bollaert,"38,100",12 June 1998,17:30
France 1998,Group Stage,C,France,South Africa,3-0,3,0,False,False,False,,,France,Márcio Rezende de Freitas,Stade Vélodrome,"55,000",12 June 1998,21:00
France 1998,Group Stage,C,South Africa,Denmark,1-1,1,1,False,False,False,,,Draw,John Toro Rendón,Stade de Toulouse,"33,500",18 June 1998,17:30
France 1998,Group Stage,C,France,Saudi Arabia,4-0,4,0,False,False,False,,,France,Arturo Brizio Carter,Stade de France,"80,000",18 June 1998,21:00
France 1998,Group Stage,C,France,Denmark,2-1,2,1,False,False,False,,,France,Pierluigi Collina,Stade de Gerland,"39,100",24 June 1998,16:00
France 1998,Group Stage,C,South Africa,Saudi Arabia,2-2,2,2,False,False,False,,,Draw,Mario Sánchez,Parc Lescure,"31,800",24 June 1998,16:00
France 1998,Group Stage,D,Paraguay,Bulgaria,0-0,0,0,False,False,False,,,Draw,Abdul Rahman Al-Zeid,Stade de la Mosson,"29,800",12 June 1998,14:30
France 1998,Group Stage,D,Spain,Nigeria,2-3,2,3,False,False,False,,,Nigeria,Esfandiar Baharmast,Stade de la Beaujoire,"35,500",13 June 1998,14:30
France 1998,Group Stage,D,Nigeria,Bulgaria,1-0,1,0,False,False,False,,,Nigeria,Mario Sánchez Yantén,Parc des Princes,"45,500",19 June 1998,17:30
France 1998,Group Stage,D,Spain,Paraguay,0-0,0,0,False,False,False,,,Draw,Ian McLeod,Stade Geoffroy-Guichard,"30,600",19 June 1998,21:00
France 1998,Group Stage,D,Nigeria,Paraguay,1-3,1,3,False,False,False,,,Paraguay,Pirom Un-prasert,Stade de Toulouse,"33,500",24 June 1998,21:00
France 1998,Group Stage,D,Spain,Bulgaria,6-1,6,1,False,False,False,,,Spain,Mario van der Ende,Stade Félix-Bollaert,"38,100",24 June 1998,21:00
France 1998,Group Stage,E,South Korea,Mexico,1-3,1,3,False,False,False,,,Mexico,Günter Benkö,Stade de Gerland,"39,100",13 June 1998,17:30
France 1998,Group Stage,E,Netherlands,Belgium,0-0,0,0,False,False,False,,,Draw,Pierluigi Collina,Stade de France,"77,000",13 June 1998,21:00
France 1998,Group Stage,E,Belgium,Mexico,2-2,2,2,False,False,False,,,Draw,Hugh Dallas,Parc Lescure,"31,800",20 June 1998,17:30
France 1998,Group Stage,E,Netherlands,South Korea,5-0,5,0,False,False,False,,,Netherlands,Ryszard Wójcik,Stade Vélodrome,"55,000",20 June 1998,21:00
France 1998,Group Stage,E,Netherlands,Mexico,2-2,2,2,False,False,False,,,Draw,Abdul Rahman Al-Zeid,Stade Geoffroy-Guichard,"30,600",25 June 1998,16:00
France 1998,Group Stage,E,Belgium,South Korea,1-1,1,1,False,False,False,,,Draw,Márcio Rezende de Freitas,Parc des Princes,"45,500",25 June 1998,16:00
France 1998,Group Stage,F,FR Yugoslavia,Iran,1-0,1,0,False,False,False,,,FR Yugoslavia,Alberto Tejada,Stade Geoffroy-Guichard,"30,600",14 June 1998,17:30
France 1998,Group Stage,F,Germany,United States,2-0,2,0,False,False,False,,,Germany,Said Belqola,Parc des Princes,"45,500",15 June 1998,21:00
France 1998,Group Stage,F,Germany,FR Yugoslavia,2-2,2,2,False,False,False,,,Draw,Kim Milton Nielsen,Stade Félix-Bollaert,"38,100",21 June 1998,14:30
France 1998,Group Stage,F,United States,Iran,1-2,1,2,False,False,False,,,Iran,Urs Meier,Stade de Gerland,"39,100",21 June 1998,21:00
France 1998,Group Stage,F,Germany,Iran,2-0,2,0,False,False,False,,,Germany,Epifanio González,Stade de la Mosson,"29,800",25 June 1998,21:00
France 1998,Group Stage,F,United States,FR Yugoslavia,0-1,0,1,False,False,False,,,FR Yugoslavia,Gamal Al-Ghandour,Stade de la Beaujoire,"35,500",25 June 1998,21:00
France 1998,Group Stage,G,England,Tunisia,2-0,2,0,False,False,False,,,England,Masayoshi Okada,Stade Vélodrome,"54,587",15 June 1998,14:30
France 1998,Group Stage,G,Romania,Colombia,1-0,1,0,False,False,False,,,Romania,Lim Kee Chong,Stade de Gerland,"39,100",15 June 1998,17:30
France 1998,Group Stage,G,Colombia,Tunisia,1-0,1,0,False,False,False,,,Colombia,Bernd Heynemann,Stade de la Mosson,"29,800",22 June 1998,17:30
France 1998,Group Stage,G,Romania,England,2-1,2,1,False,False,False,,,Romania,Marc Batta,Stade de Toulouse,"33,500",22 June 1998,21:00
France 1998,Group Stage,G,Colombia,England,0-2,0,2,False,False,False,,,England,Arturo Brizio Carter,Stade Félix-Bollaert,"38,100",26 June 1998,21:00
France 1998,Group Stage,G,Romania,Tunisia,1-1,1,1,False,False,False,,,Draw,Eddie Lennie,Stade de France,"77,000",26 June 1998,21:00
France 1998,Group Stage,H,Argentina,Japan,1-0,1,0,False,False,False,,,Argentina,Mario van der Ende,Stade de Toulouse,"33,500",14 June 1998,14:30
France 1998,Group Stage,H,Jamaica,Croatia,1-3,1,3,False,False,False,,,Croatia,Vítor Melo Pereira,Stade Félix-Bollaert,"38,100",14 June 1998,21:00
France 1998,Group Stage,H,Japan,Croatia,0-1,0,1,False,False,False,,,Croatia,Ramesh Ramdhan,Stade de la Beaujoire,"35,500",20 June 1998,14:30
France 1998,Group Stage,H,Argentina,Jamaica,5-0,5,0,False,False,False,,,Argentina,Rune Pedersen,Parc des Princes,"45,500",21 June 1998,17:30
France 1998,Group Stage,H,Argentina,Croatia,1-0,1,0,False,False,False,,,Argentina,Said Belqola,Parc Lescure,"31,800",26 June 1998,16:00
France 1998,Group Stage,H,Japan,Jamaica,1-2,1,2,False,False,False,,,Jamaica,Günter Benkö,Stade Gerland,"39,100",26 June 1998,16:00
France 1998,Round of 16,NaN,Italy,Norway,1-0,1,0,False,False,False,,,Italy,Bernd Heynemann,Stade Vélodrome,"55,000",27 June 1998,16:30
France 1998,Round of 16,NaN,Brazil,Chile,4-1,4,1,False,False,False,,,Brazil,Marc Batta,Parc des Princes,"45,500",27 June 1998,21:00
France 1998,Round of 16,NaN,France,Paraguay,1-0 (a.e.t./g.g.),1,0,True,True,False,,,France,Ali Bujsaim,Stade Félix-Bollaert,"31,800",28 June 1998,16:30
France 1998,Round of 16,NaN,Nigeria,Denmark,1-4,1,4,False,False,False,,,Denmark,Urs Meier,Stade de France,"77,000",28 June 1998,21:00
France 1998,Round of 16,NaN,Germany,Mexico,2-1,2,1,False,False,False,,,Germany,Vítor Melo Pereira,Stade de la Mosson,"29,800",29 June 1998,16:30
France 1998,Round of 16,NaN,Netherlands,FR Yugoslavia,2-1,2,1,False,False,False,,,Netherlands,José María García-Aranda,Stade de Toulouse,"33,500",29 June 1998,21:00
France 1998,Round of 16,NaN,Romania,Croatia,0-1,0,1,False,False,False,,,Croatia,Javier Castrilli,Parc Lescure,"31,800",30 June 1998,16:30
France 1998,Round of 16,NaN,Argentina,England,2-2 (a.e.t.),2,2,True,False,True,4,3,Argentina,Kim Milton Nielsen,Stade Geoffroy-Guichard,"30,600",30 June 1998,21:00
France 1998,Quarter-finals,NaN,Italy,France,0-0 (a.e.t.),0,0,True,False,True,3,4,France,Hugh Dallas,Stade de France,"77,000",3 July 1998,16:30
France 1998,Quarter-finals,NaN,Brazil,Denmark,3-2,3,2,False,False,False,,,Brazil,Gamal Al-Ghandour,Stade de la Beaujoire,"35,500",3 July 1998,21:00
France 1998,Quarter-finals,NaN,Netherlands,Argentina,2-1,2,1,False,False,False,,,Netherlands,Arturo Brizio Carter,Stade Vélodrome,"55,000",4 July 1998,16:30
France 1998,Quarter-finals,NaN,Germany,Croatia,0-3,0,3,False,False,False,,,Croatia,Rune Pedersen,Stade de Gerland,"39,100",4 July 1998,21:00
France 1998,Semi-finals,NaN,Brazil,Netherlands,1-1 (a.e.t.),1,1,True,False,True,4,2,Brazil,Ali Bujsaim,Stade Vélodrome,"54,000",7 July 1998,21:00
France 1998,Semi-finals,NaN,France,Croatia,2-1,2,1,False,False,False,,,France,José María García-Aranda,Stade de France,"76,000",8 July 1998,21:00
France 1998,Third Place Match,NaN,Netherlands,Croatia,1-2,1,2,False,False,False,,,Croatia,Epifanio González,Parc des Princes,"45,500",11 July 1998,21:00
France 1998,Final,NaN,Brazil,France,0-3,0,3,False,False,False,,,France,Said Belqola,Stade de France,"75,000",12 July 1998,21:00
Korea/Japan 2002,Group Stage,A,France,Senegal,0-1,0,1,False,False,False,,,Senegal,Ali Bujsaim,Seoul World Cup Stadium,"62,561",31 May 2002,20:30
Korea/Japan 2002,Group Stage,A,Uruguay,Denmark,1-2,1,2,False,False,False,,,Denmark,Saad Mane,Munsu Football Stadium,"30,157",1 June 2002,18:00
Korea/Japan 2002,Group Stage,A,Denmark,Senegal,1-1,1,1,False,False,False,,,Draw,Carlos Batres,Daegu World Cup Stadium,"43,500",6 June 2002,15:30
Korea/Japan 2002,Group Stage,A,France,Uruguay,0-0,0,0,False,False,False,,,Draw,Felipe Ramos,Busan Asiad Main Stadium,"38,289",6 June 2002,20:30
Korea/Japan 2002,Group Stage,A,Denmark,France,2-0,2,0,False,False,False,,,Denmark,Vítor Melo Pereira,Incheon World Cup Stadium,"48,100",11 June 2002,15:30
Korea/Japan 2002,Group Stage,A,Senegal,Uruguay,3-3,3,3,False,False,False,,,Draw,Jan Wegereef,Suwon World Cup Stadium,"33,681",11 June 2002,15:30
Korea/Japan 2002,Group Stage,B,Paraguay,South Africa,2-2,2,2,False,False,False,,,Draw,Ľuboš Micheľ,Busan Asiad Main Stadium,"25,186",2 June 2002,16:30
Korea/Japan 2002,Group Stage,B,Spain,Slovenia,3-1,3,1,False,False,False,,,Spain,Mohamed Guezzaz,Gwangju World Cup Stadium,"28,598",2 June 2002,20:30
Korea/Japan 2002,Group Stage,B,Spain,Paraguay,3-1,3,1,False,False,False,,,Spain,Gamal Al-Ghandour,Jeonju World Cup Stadium,"24,000",7 June 2002,18:00
Korea/Japan 2002,Group Stage,B,South Africa,Slovenia,1-0,1,0,False,False,False,,,South Africa,Ángel Sánchez,Daegu World Cup Stadium,"47,226",8 June 2002,15:30
Korea/Japan 2002,Group Stage,B,South Africa,Spain,2-3,2,3,False,False,False,,,Spain,Saad Mane,Daejeon World Cup Stadium,"31,024",12 June 2002,20:30
Korea/Japan 2002,Group Stage,B,Slovenia,Paraguay,1-3,1,3,False,False,False,,,Paraguay,Felipe Ramos,Jeju World Cup Stadium,"30,176",12 June 2002,20:30
Korea/Japan 2002,Group Stage,C,Brazil,Turkey,2-1,2,1,False,False,False,,,Brazil,South Korea,Munsu Football Stadium,"33,842",3 June 2002,18:00
Korea/Japan 2002,Group Stage,C,China,Costa Rica,0-2,0,2,False,False,False,,,Costa Rica,Kyros Vassaras,Gwangju World Cup Stadium,"27,217",4 June 2002,15:30
Korea/Japan 2002,Group Stage,C,Brazil,China,4-0,4,0,False,False,False,,,Brazil,Anders Frisk,Jeju World Cup Stadium,"36,750",8 June 2002,20:30
Korea/Japan 2002,Group Stage,C,Costa Rica,Turkey,1-1,1,1,False,False,False,,,Draw,Coffi Codjia,Incheon World Cup Stadium,"42,299",9 June 2002,18:00
Korea/Japan 2002,Group Stage,C,Costa Rica,Brazil,2-5,2,5,False,False,False,,,Brazil,Gamal Al-Ghandour,Suwon World Cup Stadium,"38,524",13 June 2002,15:30
Korea/Japan 2002,Group Stage,C,Turkey,China,3-0,3,0,False,False,False,,,Turkey,Óscar Ruiz,Seoul World Cup Stadium,"43,605",13 June 2002,15:30
Korea/Japan 2002,Group Stage,D,South Korea,Poland,2-0,2,0,False,False,False,,,South Korea,Óscar Ruiz,Busan Asiad Main Stadium,"48,760",4 June 2002,20:30
Korea/Japan 2002,Group Stage,D,United States,Portugal,3-2,3,2,False,False,False,,,United States,Byron Moreno,Suwon World Cup Stadium,"37,306",5 June 2002,18:00
Korea/Japan 2002,Group Stage,D,South Korea,United States,1-1,1,1,False,False,False,,,Draw,Urs Meier,Daegu World Cup Stadium,"60,778",10 June 2002,15:30
Korea/Japan 2002,Group Stage,D,Portugal,Poland,4-0,4,0,False,False,False,,,Portugal,Hugh Dallas,Jeonju World Cup Stadium,"31,000",10 June 2002,20:30
Korea/Japan 2002,Group Stage,D,Portugal,South Korea,0-1,0,1,False,False,False,,,South Korea,Ángel Sánchez,Incheon World Cup Stadium,"50,239",14 June 2002,20:30
Korea/Japan 2002,Group Stage,D,Poland,United States,3-1,3,1,False,False,False,,,Poland,Lu Jun,Daejeon World Cup Stadium,"26,482",14 June 2002,20:30
Korea/Japan 2002,Group Stage,E,Republic of Ireland,Cameroon,1-1,1,1,False,False,False,,,Draw,Toru Kamikawa,Niigata Stadium,"33,679",1 June 2002,15:30
Korea/Japan 2002,Group Stage,E,Germany,Saudi Arabia,8-0,8,0,False,False,False,,,Germany,Ubaldo Aquino,Sapporo Dome,"32,218",1 June 2002,20:30
Korea/Japan 2002,Group Stage,E,Germany,Republic of Ireland,1-1,1,1,False,False,False,,,Draw,Kim Milton Nielsen,Kashima Soccer Stadium,"35,854",5 June 2002,20:30
Korea/Japan 2002,Group Stage,E,Cameroon,Saudi Arabia,1-0,1,0,False,False,False,,,Cameroon,Terje Hauge,Saitama Stadium,"52,328",6 June 2002,18:00
Korea/Japan 2002,Group Stage,E,Cameroon,Germany,0-2,0,2,False,False,False,,,Germany,Antonio López Nieto,Ecopa Stadium,"47,085",11 June 2002,20:30
Korea/Japan 2002,Group Stage,E,Saudi Arabia,Republic of Ireland,0-3,0,3,False,False,False,,,Republic of Ireland,Falla N'Doye,International Stadium Yokohama,"65,320",11 June 2002,20:30
Korea/Japan 2002,Group Stage,F,Argentina,Nigeria,1-0,1,0,False,False,False,,,Argentina,Gilles Veissière,Kashima Soccer Stadium,"34,050",2 June 2002,14:30
Korea/Japan 2002,Group Stage,F,England,Sweden,1-1,1,1,False,False,False,,,Draw,Carlos Simon,Saitama Stadium,"52,721",2 June 2002,18:30
Korea/Japan 2002,Group Stage,F,Sweden,Nigeria,2-1,2,1,False,False,False,,,Sweden,René Ortubé,Wing Stadium,"36,194",7 June 2002,15:30
Korea/Japan 2002,Group Stage,F,Argentina,England,0-1,0,1,False,False,False,,,England,Pierluigi Collina,Sapporo Dome,"35,927",7 June 2002,20:30
Korea/Japan 2002,Group Stage,F,Sweden,Argentina,1-1,1,1,False,False,False,,,Draw,Ali Bujsaim,Miyagi Stadium,"45,777",12 June 2002,15:30
Korea/Japan 2002,Group Stage,F,Nigeria,England,0-0,0,0,False,False,False,,,Draw,Brian Hall,Nagai Stadium,"44,864",12 June 2002,15:30
Korea/Japan 2002,Group Stage,G,Croatia,Mexico,0-1,0,1,False,False,False,,,Mexico,Lu Jun,Niigata Big Swan Stadium,"32,239",3 June 2002,15:30
Korea/Japan 2002,Group Stage,G,Italy,Ecuador,2-0,2,0,False,False,False,,,Italy,Brian Hall,Sapporo Dome,"31,081",3 June 2002,20:30
Korea/Japan 2002,Group Stage,G,Italy,Croatia,1-2,1,2,False,False,False,,,Croatia,Graham Poll,Kashima Soccer Stadium,"36,472",8 June 2002,18:00
Korea/Japan 2002,Group Stage,G,Mexico,Ecuador,2-1,2,1,False,False,False,,,Mexico,Mourad Daami,Miyagi Stadium,"45,610",9 June 2002,15:30
Korea/Japan 2002,Group Stage,G,Mexico,Italy,1-1,1,1,False,False,False,,,Draw,Carlos Simon,Ōita Big Eye Stadium,"39,291",13 June 2002,20:30
Korea/Japan 2002,Group Stage,G,Ecuador,Croatia,1-0,1,0,False,False,False,,,Ecuador,William Mattus,International Stadium Yokohama,"65,862",13 June 2002,20:30
Korea/Japan 2002,Group Stage,H,Japan,Belgium,2-2,2,2,False,False,False,,,Draw,William Mattus,Saitama Stadium,"55,256",4 June 2002,18:00
Korea/Japan 2002,Group Stage,H,Russia,Tunisia,2-0,2,0,False,False,False,,,Russia,Peter Prendergast,Kobe Wing Stadium,"30,957",5 June 2002,15:30
Korea/Japan 2002,Group Stage,H,Japan,Russia,1-0,1,0,False,False,False,,,Japan,Markus Merk,International Stadium Yokohama,"66,108",9 June 2002,20:30
Korea/Japan 2002,Group Stage,H,Tunisia,Belgium,1-1,1,1,False,False,False,,,Draw,Mark Shield,Ōita Big Eye Stadium,"39,700",10 June 2002,18:00
Korea/Japan 2002,Group Stage,H,Tunisia,Japan,0-2,0,2,False,False,False,,,Japan,Gilles Veissière,Nagai Stadium,"45,213",14 June 2002,15:30
Korea/Japan 2002,Group Stage,H,Belgium,Russia,3-2,3,2,False,False,False,,,Belgium,Kim Milton Nielsen,Shizuoka Ecopa Stadium,"46,640",14 June 2002,15:30
Korea/Japan 2002,Round of 16,NaN,Germany,Paraguay,1-0,1,0,False,False,False,,,Germany,Carlos Alberto Batres,Jeju World Cup Stadium,"25,176",15 June 2002,15:30
Korea/Japan 2002,Round of 16,NaN,Denmark,England,0-3,0,3,False,False,False,,,England,Markus Merk,Big Swan Stadium,"40,582",15 June 2002,20:30
Korea/Japan 2002,Round of 16,NaN,Sweden,Senegal,1-2 (a.e.t./g.g.),1,2,True,True,False,,,Senegal,Ubaldo Aquino,Big Eye Stadium,"39,747",16 June 2002,15:30
Korea/Japan 2002,Round of 16,NaN,Spain,Republic of Ireland,1-1 (a.e.t.),1,1,True,False,True,3,2,Spain,Anders Frisk,Suwon World Cup Stadium,"38,926",16 June 2002,20:30
Korea/Japan 2002,Round of 16,NaN,Mexico,United States,0-2,0,2,False,False,False,,,United States,Vítor Melo Pereira,Jeonju World Cup Stadium,"36,380",17 June 2002,15:30
Korea/Japan 2002,Round of 16,NaN,Brazil,Belgium,2-0,2,0,False,False,False,,,Brazil,Peter Prendergast,Kobe Wing Stadium,"40,440",17 June 2002,20:30
Korea/Japan 2002,Round of 16,NaN,Japan,Turkey,0-1,0,1,False,False,False,,,Turkey,Pierluigi Collina,Miyagi Stadium,"45,666",18 June 2002,15:30
Korea/Japan 2002,Round of 16,NaN,South Korea,Italy,2-1 (a.e.t./g.g.),2,1,True,True,False,,,South Korea,Byron Moreno,Daejeon World Cup Stadium,"38,588",18 June 2002,20:30
Korea/Japan 2002,Quarter-finals,NaN,England,Brazil,1-2,1,2,False,False,False,,,Brazil,Felipe Ramos,Stadium Ecopa,"47,436",21 June 2002,15:30
Korea/Japan 2002,Quarter-finals,NaN,Germany,United States,1-0,1,0,False,False,False,,,Germany,Hugh Dallas,Munsu Football Stadium,"37,337",21 June 2002,20:30
Korea/Japan 2002,Quarter-finals,NaN,Spain,South Korea,0-0 (a.e.t.),0,0,True,False,True,3,5,South Korea,Gamal Al-Ghandour,Gwangju World Cup Stadium,"42,114",22 June 2002,15:30
Korea/Japan 2002,Quarter-finals,NaN,Senegal,Turkey,0-1 (a.e.t./g.g.),0,1,True,True,False,,,Turkey,Óscar Ruiz,Nagai Stadium,"44,233",22 June 2002,20:30
Korea/Japan 2002,Semi-finals,NaN,Germany,South Korea,1-0,1,0,False,False,False,,,Germany,Urs Meier,Seoul World Cup Stadium,"65,256",25 June 2002,20:30
Korea/Japan 2002,Semi-finals,NaN,Brazil,Turkey,1-0,1,0,False,False,False,,,Brazil,Kim Milton Nielsen,Saitama Stadium,"61,058",26 June 2002,20:30
Korea/Japan 2002,Third Place Match,NaN,South Korea,Turkey,2-3,2,3,False,False,False,,,Turkey,Saad Mane,Daegu World Cup Stadium,"63,483",29 June 2002,20:00
Korea/Japan 2002,Final,NaN,Germany,Brazil,0-2,0,2,False,False,False,,,Brazil,Pierluigi Collina,International Stadium Yokohama,"69,029",30 June 2002,20:00
Germany 2006,Group Stage,A,Germany,Costa Rica,4-2,4,2,False,False,False,,,Germany,Horacio Elizondo,Allianz Arena,"66,000",9 June 2006,16:00
Germany 2006,Group Stage,A,Poland,Ecuador,0-2,0,2,False,False,False,,,Ecuador,Toru Kamikawa,Arena AufSchalke,"52,000",9 June 2006,19:00
Germany 2006,Group Stage,A,Germany,Poland,1-0,1,0,False,False,False,,,Germany,Luis Medina Cantalejo,Westfalenstadion,"65,000",14 June 2006,19:00
Germany 2006,Group Stage,A,Ecuador,Costa Rica,3-0,3,0,False,False,False,,,Ecuador,Coffi Codjia,Volksparkstadion,"50,000",15 June 2006,13:00
Germany 2006,Group Stage,A,Ecuador,Germany,0-3,0,3,False,False,False,,,Germany,Valentin Ivanov,Olympiastadion,"72,000",20 June 2006,14:00
Germany 2006,Group Stage,A,Costa Rica,Poland,1-2,1,2,False,False,False,,,Poland,Shamsul Maidin,Niedersachsenstadion,"43,000",20 June 2006,14:00
Germany 2006,Group Stage,B,England,Paraguay,1-0,1,0,False,False,False,,,England,Marco Rodríguez,Waldstadion,"48,000",10 June 2006,15:00
Germany 2006,Group Stage,B,Trinidad and Tobago,Sweden,0-0,0,0,False,False,False,,,Draw,Shamsul Maidin,Westfalenstadion,"62,959",10 June 2006,18:00
Germany 2006,Group Stage,B,England,Trinidad and Tobago,2-0,2,0,False,False,False,,,England,Toru Kamikawa,Frankenstadion,"41,000",15 June 2006,18:00
Germany 2006,Group Stage,B,Sweden,Paraguay,1-0,1,0,False,False,False,,,Sweden,Ľuboš Micheľ,Olympiastadion,"72,000",15 June 2006,21:00
Germany 2006,Group Stage,B,Sweden,England,2-2,2,2,False,False,False,,,Draw,Massimo Busacca,RheinEnergieStadion,"45,000",20 June 2006,21:00
Germany 2006,Group Stage,B,Paraguay,Trinidad and Tobago,2-0,2,0,False,False,False,,,Paraguay,Roberto Rosetti,Fritz-Walter-Stadion,"46,000",20 June 2006,21:00
Germany 2006,Group Stage,C,Argentina,Ivory Coast,2-1,2,1,False,False,False,,,Argentina,Frank De Bleeckere,Volksparkstadion,"49,480",10 June 2006,21:00
Germany 2006,Group Stage,C,Serbia and Montenegro,Netherlands,0-1,0,1,False,False,False,,,Netherlands,Markus Merk,Zentralstadion,"43,000",11 June 2006,15:00
Germany 2006,Group Stage,C,Argentina,Serbia and Montenegro,6-0,6,0,False,False,False,,,Argentina,Roberto Rosetti,Arena AufSchalke,"52,000",16 June 2006,15:00
Germany 2006,Group Stage,C,Netherlands,Ivory Coast,2-1,2,1,False,False,False,,,Netherlands,Óscar Ruiz,Gottlieb-Daimler-Stadion,"52,000",16 June 2006,18:00
Germany 2006,Group Stage,C,Netherlands,Argentina,0-0,0,0,False,False,False,,,Draw,Luis Medina Cantalejo,Waldstadion,"48,000",21 June 2006,21:00
Germany 2006,Group Stage,C,Ivory Coast,Serbia and Montenegro,3-2,3,2,False,False,False,,,Ivory Coast,Marco Rodríguez,Allianz Arena,"66,000",21 June 2006,21:00
Germany 2006,Group Stage,D,Mexico,Iran,3-1,3,1,False,False,False,,,Mexico,Roberto Rosetti,Frankenstadion,"41,000",11 June 2006,18:00
Germany 2006,Group Stage,D,Angola,Portugal,0-1,0,1,False,False,False,,,Portugal,Jorge Larrionda,RheinEnergieStadion,"45,000",11 June 2006,21:00
Germany 2006,Group Stage,D,Mexico,Angola,0-0,0,0,False,False,False,,,Draw,Shamsul Maidin,Niedersachsenstadion,"43,000",16 June 2006,21:00
Germany 2006,Group Stage,D,Portugal,Iran,2-0,2,0,False,False,False,,,Portugal,Éric Poulat,Waldstadion,"48,000",17 June 2006,15:00
Germany 2006,Group Stage,D,Portugal,Mexico,2-1,2,1,False,False,False,,,Portugal,Ľuboš Micheľ,Arena AufSchalke,"52,000",21 June 2006,16:00
Germany 2006,Group Stage,D,Iran,Angola,1-1,1,1,False,False,False,,,Draw,Mark Shield,Zentralstadion,"38,000",21 June 2006,16:00
