Tournament,Group,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Result,GR
USA 1994,A,3,United States,3,1,1,1,3,3,0,4,Advance to knockout stage,
USA 1994,A,4,Colombia,3,1,0,2,4,5,-1,3,Eliminated,
USA 1994,B,1,Brazil,3,2,1,0,6,1,+5,7,Advance to knockout stage,
USA 1994,B,2,Sweden,3,1,2,0,6,4,+2,5,Advance to knockout stage,
USA 1994,B,3,Russia,3,1,0,2,7,6,+1,3,Eliminated,
USA 1994,B,4,Cameroon,3,0,1,2,3,11,-8,1,Eliminated,
USA 1994,C,1,Germany,3,2,1,0,5,3,+2,7,Advance to knockout stage,
USA 1994,C,2,Spain,3,1,2,0,6,4,+2,5,Advance to knockout stage,
USA 1994,C,3,South Korea,3,0,2,1,4,5,-1,2,Eliminated,
USA 1994,C,4,Bolivia,3,0,1,2,1,4,-3,1,Eliminated,
USA 1994,D,1,Nigeria,3,2,0,1,6,2,+4,6,Advance to knockout stage,
USA 1994,D,2,Bulgaria,3,2,0,1,6,3,+3,6,Advance to knockout stage,
USA 1994,D,3,Argentina,3,2,0,1,6,3,+3,6,Advance to knockout stage,
USA 1994,D,4,Greece,3,0,0,3,0,10,-10,0,Eliminated,
USA 1994,E,1,Mexico,3,1,1,1,3,3,,4,Advance to knockout stage,
USA 1994,E,2,Republic of Ireland,3,1,1,1,2,2,,4,Advance to knockout stage,
USA 1994,E,3,Italy,3,1,1,1,2,2,,4,Advance to knockout stage,
USA 1994,E,4,Norway,3,1,1,1,1,1,,4,Eliminated,
USA 1994,F,1,Netherlands,3,2,0,1,4,3,+1,6,Advance to knockout stage,
USA 1994,F,2,Saudi Arabia,3,2,0,1,4,3,+1,6,Advance to knockout stage,
USA 1994,F,3,Belgium,3,2,0,1,2,1,+1,6,Advance to knockout stage,
USA 1994,F,4,Morocco,3,0,0,3,2,5,-3,0,Eliminated,
France 1998,A,1,Brazil,3,2,0,1,6,3,+3,6,Advance to knockout stage,
France 1998,A,2,Norway,3,1,2,0,5,4,+1,5,Advance to knockout stage,
France 1998,A,3,Morocco,3,1,1,1,5,5,0,4,Eliminated,
France 1998,A,4,Scotland,3,0,1,2,2,6,-4,1,Eliminated,
France 1998,B,1,Italy,3,2,1,0,7,3,+4,7,Advance to knockout stage,
France 1998,B,2,Chile,3,0,3,0,4,4,0,3,Advance to knockout stage,
France 1998,B,3,Austria,3,0,2,1,3,4,-1,2,Eliminated,
France 1998,B,4,Cameroon,3,0,2,1,2,5,-3,2,Eliminated,
France 1998,C,1,France,3,3,0,0,9,1,+8,9,Advance to knockout stage,
France 1998,C,2,Denmark,3,1,1,1,3,3,0,4,Advance to knockout stage,
France 1998,C,3,South Africa,3,0,2,1,3,6,-3,2,Eliminated,
France 1998,C,4,Saudi Arabia,3,0,1,2,2,7,-5,1,Eliminated,
France 1998,D,1,Nigeria,3,2,0,1,5,5,0,6,Advance to knockout stage,
France 1998,D,2,Paraguay,3,1,2,0,3,1,+2,5,Advance to knockout stage,
France 1998,D,3,Spain,3,1,1,1,8,4,+4,4,Eliminated,
France 1998,D,4,Bulgaria,3,0,1,2,1,7,-6,1,Eliminated,
France 1998,E,1,Netherlands,3,1,2,0,7,2,+5,5,Advance to knockout stage,
France 1998,E,2,Mexico,3,1,2,0,7,5,+2,5,Advance to knockout stage,
France 1998,E,3,Belgium,3,0,3,0,3,3,0,3,Eliminated,
France 1998,E,4,South Korea,3,0,1,2,2,9,-7,1,Eliminated,
France 1998,F,1,Germany,3,2,1,0,6,2,+4,7,Advance to knockout stage,
France 1998,F,2,FR Yugoslavia,3,2,1,0,4,2,+2,7,Advance to knockout stage,
France 1998,F,3,Iran,3,1,0,2,2,4,-2,3,Eliminated,
France 1998,F,4,United States,3,0,0,3,1,5,-4,0,Eliminated,
France 1998,G,1,Romania,3,2,1,0,4,2,+2,7,Advance to knockout stage,
France 1998,G,2,England,3,2,0,1,5,2,+3,6,Advance to knockout stage,
France 1998,G,3,Colombia,3,1,0,2,1,3,-2,3,Eliminated,
France 1998,G,4,Tunisia,3,0,1,2,1,4,-3,1,Eliminated,
France 1998,H,1,Argentina,3,3,0,0,7,0,+7,9,Advance to knockout stage,
France 1998,H,2,Croatia,3,2,0,1,4,2,+2,6,Advance to knockout stage,
France 1998,H,3,Jamaica,3,1,0,2,3,9,-6,3,Eliminated,
France 1998,H,4,Japan,3,0,0,3,1,4,-3,0,Eliminated,
Korea/Japan 2002,A,1,Denmark,3,2,1,0,5,2,+3,7,Advance to knockout stage,
Korea/Japan 2002,A,2,Senegal,3,1,2,0,5,4,+1,5,Advance to knockout stage,
Korea/Japan 2002,A,3,Uruguay,3,0,2,1,4,5,-1,2,Eliminated,
Korea/Japan 2002,A,4,France,3,0,1,2,0,3,-3,1,Eliminated,
Korea/Japan 2002,B,1,Spain,3,3,0,0,9,4,+5,9,Advance to knockout stage,
Korea/Japan 2002,B,2,Paraguay,3,1,1,1,6,6,0,4,Advance to knockout stage,
Korea/Japan 2002,B,3,South Africa,3,1,1,1,5,5,0,4,Eliminated,
Korea/Japan 2002,B,4,Slovenia,3,0,0,3,2,7,-5,0,Eliminated,
Korea/Japan 2002,C,1,Brazil,3,3,0,0,11,3,+8,9,Advance to knockout stage,
Korea/Japan 2002,C,2,Turkey,3,1,1,1,5,3,+2,4,Advance to knockout stage,
Korea/Japan 2002,C,3,Costa Rica,3,1,1,1,5,6,-1,4,Eliminated,
Korea/Japan 2002,C,4,China,3,0,0,3,0,9,-9,0,Eliminated,
Korea/Japan 2002,D,1,South Korea,3,2,1,0,4,1,+3,7,Advance to knockout stage,
Korea/Japan 2002,D,2,United States,3,1,1,1,5,6,-1,4,Advance to knockout stage,
Korea/Japan 2002,D,3,Portugal,3,1,0,2,6,4,+2,3,Eliminated,
Korea/Japan 2002,D,4,Poland,3,1,0,2,3,7,-4,3,Eliminated,
Korea/Japan 2002,E,1,Germany,3,2,1,0,11,1,+10,7,Advance to knockout stage,
Korea/Japan 2002,E,2,Republic of Ireland,3,1,2,0,5,2,+3,5,Advance to knockout stage,
Korea/Japan 2002,E,3,Cameroon,3,1,1,1,2,3,-1,4,Eliminated,
Korea/Japan 2002,E,4,Saudi Arabia,3,0,0,3,0,12,-12,0,Eliminated,
Korea/Japan 2002,F,1,Sweden,3,1,2,0,4,3,+1,5,Advance to knockout stage,
Korea/Japan 2002,F,2,England,3,1,2,0,2,1,+1,5,Advance to knockout stage,
Korea/Japan 2002,F,3,Argentina,3,1,1,1,2,2,0,4,Eliminated,
Korea/Japan 2002,F,4,Nigeria,3,0,1,2,1,3,-2,1,Eliminated,
Korea/Japan 2002,G,1,Mexico,3,2,1,0,4,2,+2,7,Advance to knockout stage,
Korea/Japan 2002,G,2,Italy,3,1,1,1,4,3,+1,4,Advance to knockout stage,
Korea/Japan 2002,G,3,Croatia,3,1,0,2,2,3,-1,3,Eliminated,
Korea/Japan 2002,G,4,Ecuador,3,1,0,2,2,4,-2,3,Eliminated,
Korea/Japan 2002,H,1,Japan,3,2,1,0,5,2,+3,7,Advance to knockout stage,
Korea/Japan 2002,H,2,Belgium,3,1,2,0,6,5,+1,5,Advance to knockout stage,
Korea/Japan 2002,H,3,Russia,3,1,0,2,4,4,0,3,Eliminated,
Korea/Japan 2002,H,4,Tunisia,3,0,1,2,1,5,-4,1,Eliminated,
Germany 2006,A,1,Germany,3,3,0,0,8,2,+6,9,Advance to knockout stage,
Germany 2006,A,2,Ecuador,3,2,0,1,5,3,+2,6,Advance to knockout stage,
Germany 2006,A,3,Poland,3,1,0,2,2,4,-2,3,Eliminated,
Germany 2006,A,4,Costa Rica,3,0,0,3,3,9,-6,0,Eliminated,
Germany 2006,B,1,England,3,2,1,0,5,2,+3,7,Advance to knockout stage,
Germany 2006,B,2,Sweden,3,1,2,0,3,2,+1,5,Advance to knockout stage,
Germany 2006,B,3,Paraguay,3,1,0,2,2,2,0,3,Eliminated,
Germany 2006,B,4,Trinidad and Tobago,3,0,1,2,0,4,-4,1,Eliminated,
Germany 2006,C,1,Argentina,3,2,1,0,8,1,+7,7,Advance to knockout stage,
Germany 2006,C,2,Netherlands,3,2,1,0,3,1,+2,7,Advance to knockout stage,
Germany 2006,C,3,Ivory Coast,3,1,0,2,5,6,-1,3,Eliminated,
Germany 2006,C,4,Serbia and Montenegro,3,0,0,3,2,10,-8,0,Eliminated,
Germany 2006,D,1,Portugal,3,3,0,0,5,1,+4,9,Advance to knockout stage,
Germany 2006,D,2,Mexico,3,1,1,1,4,3,+1,4,Advance to knockout stage,
Germany 2006,D,3,Angola,3,0,2,1,1,2,-1,2,Eliminated,
Germany 2006,D,4,Iran,3,0,1,2,2,6,-4,1,Eliminated,
Germany 2006,E,1,Italy,3,2,1,0,5,1,+4,7,Advance to knockout stage,
Germany 2006,E,2,Ghana,3,2,0,1,4,3,+1,6,Advance to knockout stage,
Germany 2006,E,3,Czech Republic,3,1,0,2,3,4,-1,3,Eliminated,
Germany 2006,E,4,United States,3,0,1,2,2,6,-4,1,Eliminated,
Germany 2006,F,1,Brazil,3,3,0,0,7,1,+6,9,Advance to knockout stage,
Germany 2006,F,2,Australia,3,1,1,1,5,5,0,4,Advance to knockout stage,
Germany 2006,F,3,Croatia,3,0,2,1,2,3,-1,2,Eliminated,
Germany 2006,F,4,Japan,3,0,1,2,2,7,-5,1,Eliminated,
Germany 2006,G,1,Switzerland,3,2,1,0,4,0,+4,7,Advance to knockout stage,
Germany 2006,G,2,France,3,1,2,0,3,1,+2,5,Advance to knockout stage,
Germany 2006,G,3,South Korea,3,1,1,1,3,4,-1,4,Eliminated,
Germany 2006,G,4,Togo,3,0,0,3,1,6,-5,0,Eliminated,
Germany 2006,H,1,Spain,3,3,0,0,8,1,+7,9,Advance to knockout stage,
Germany 2006,H,2,Ukraine,3,2,0,1,5,4,+1,6,Advance to knockout stage,
Germany 2006,H,3,Tunisia,3,0,1,2,3,6,-3,1,Eliminated,
Germany 2006,H,4,Saudi Arabia,3,0,1,2,2,7,-5,1,Eliminated,
South Africa 2010,A,1,Uruguay,3,2,1,0,4,0,+4,7,Advance to knockout stage,
South Africa 2010,A,2,Mexico,3,1,1,1,3,2,+1,4,Advance to knockout stage,
South Africa 2010,A,3,South Africa,3,1,1,1,3,5,-2,4,Eliminated,
South Africa 2010,A,4,France,3,0,1,2,1,4,-3,1,Eliminated,
South Africa 2010,B,1,Argentina,3,3,0,0,7,1,+6,9,Advance to knockout stage,
South Africa 2010,B,2,South Korea,3,1,1,1,5,6,-1,4,Advance to knockout stage,
South Africa 2010,B,3,Greece,3,1,0,2,2,5,-3,3,Eliminated,
South Africa 2010,B,4,Nigeria,3,0,1,2,3,5,-2,1,Eliminated,
South Africa 2010,C,1,United States,3,1,2,0,4,3,+1,5,Advance to knockout stage,
South Africa 2010,C,2,England,3,1,2,0,2,1,+1,5,Advance to knockout stage,
South Africa 2010,C,3,Slovenia,3,1,1,1,3,3,0,4,Eliminated,
South Africa 2010,C,4,Algeria,3,0,1,2,0,2,-2,1,Eliminated,
South Africa 2010,D,1,Germany,3,2,0,1,5,1,+4,6,Advance to knockout stage,
South Africa 2010,D,2,Ghana,3,1,1,1,2,2,0,4,Advance to knockout stage,
South Africa 2010,D,3,Australia,3,1,1,1,3,6,-3,4,Eliminated,
South Africa 2010,D,4,Serbia,3,1,0,2,2,3,-1,3,Eliminated,
South Africa 2010,E,1,Netherlands,3,3,0,0,5,1,+4,9,Advance to knockout stage,
South Africa 2010,E,2,Japan,3,2,0,1,4,2,+2,6,Advance to knockout stage,
South Africa 2010,E,3,Denmark,3,1,0,2,3,6,-3,3,Eliminated,
South Africa 2010,E,4,Cameroon,3,0,0,3,2,5,-3,0,Eliminated,
South Africa 2010,F,1,Paraguay,3,1,2,0,3,1,+2,5,Advance to knockout stage,
South Africa 2010,F,2,Slovakia,3,1,1,1,4,5,-1,4,Advance to knockout stage,
South Africa 2010,F,3,New Zealand,3,0,3,0,2,2,0,3,Eliminated,
South Africa 2010,F,4,Italy,3,0,2,1,4,5,-1,2,Eliminated,
South Africa 2010,G,1,Brazil,3,2,1,0,5,2,+3,7,Advance to knockout stage,
South Africa 2010,G,2,Portugal,3,1,2,0,7,0,+7,5,Advance to knockout stage,
South Africa 2010,G,3,Ivory Coast,3,1,1,1,4,3,+1,4,Eliminated,
South Africa 2010,G,4,North Korea,3,0,0,3,1,12,-11,0,Eliminated,
South Africa 2010,H,1,Spain,3,2,0,1,4,2,+2,6,Advance to knockout stage,
South Africa 2010,H,2,Chile,3,2,0,1,3,2,+1,6,Advance to knockout stage,
South Africa 2010,H,3,Switzerland,3,1,1,1,1,1,0,4,Eliminated,
South Africa 2010,H,4,Honduras,3,0,1,2,0,3,-3,1,Eliminated,
Brazil 2014,A,1,Brazil,3,2,1,0,7,2,+5,7,Advance to knockout stage,
Brazil 2014,A,2,Mexico,3,2,1,0,4,1,+3,7,Advance to knockout stage,
Brazil 2014,A,3,Croatia,3,1,0,2,6,6,0,3,Eliminated,
Brazil 2014,A,4,Cameroon,3,0,0,3,1,9,-8,0,Eliminated,
Brazil 2014,B,1,Netherlands,3,3,0,0,10,3,+7,9,Advance to knockout stage,
Brazil 2014,B,2,Chile,3,2,0,1,5,3,+2,6,Advance to knockout stage,
Brazil 2014,B,3,Spain,3,1,0,2,4,7,-3,3,Eliminated,
Brazil 2014,B,4,Australia,3,0,0,3,3,9,-6,0,Eliminated,
Brazil 2014,C,1,Colombia,3,3,0,0,9,2,+7,9,Advance to knockout stage,
Brazil 2014,C,2,Greece,3,1,1,1,2,4,-2,4,Advance to knockout stage,
Brazil 2014,C,3,Ivory Coast,3,1,0,2,4,5,-1,3,Eliminated,
Brazil 2014,C,4,Japan,3,0,1,2,2,6,-4,1,Eliminated,
Brazil 2014,D,1,Costa Rica,3,2,1,0,4,1,+3,7,Advance to knockout stage,
Brazil 2014,D,2,Uruguay,3,2,0,1,4,4,0,6,Advance to knockout stage,
Brazil 2014,D,3,Italy,3,1,0,2,2,3,-1,3,Eliminated,
Brazil 2014,D,4,England,3,0,1,2,2,4,-2,1,Eliminated,
Brazil 2014,E,1,France,3,2,1,0,8,2,+6,7,Advance to knockout stage,
Brazil 2014,E,2,Switzerland,3,2,0,1,7,6,+1,6,Advance to knockout stage,
Brazil 2014,E,3,Ecuador,3,1,1,1,3,3,0,4,Eliminated,
Brazil 2014,E,4,Honduras,3,0,0,3,1,8,-7,0,Eliminated,
Brazil 2014,F,1,Argentina,3,3,0,0,6,3,+3,9,Advance to knockout stage,
Brazil 2014,F,2,Nigeria,3,1,1,1,3,3,0,4,Advance to knockout stage,
Brazil 2014,F,3,Bosnia and Herzegovina,3,1,0,2,4,4,0,3,Eliminated,
Brazil 2014,F,4,Iran,3,0,1,2,1,4,-3,1,Eliminated,
Brazil 2014,G,1,Germany,3,2,1,0,7,2,+5,7,Advance to knockout stage,
Brazil 2014,G,2,United States,3,1,1,1,4,4,0,4,Advance to knockout stage,
Brazil 2014,G,3,Portugal,3,1,1,1,4,7,-3,4,Eliminated,
Brazil 2014,G,4,Ghana,3,0,1,2,4,6,-2,1,Eliminated,
Brazil 2014,H,1,Belgium,3,3,0,0,4,1,+3,9,Advance to knockout stage,
Brazil 2014,H,2,Algeria,3,1,1,1,6,5,+1,4,Advance to knockout stage,
Brazil 2014,H,3,Russia,3,0,2,1,2,3,-1,2,Eliminated,
Brazil 2014,H,4,South Korea,3,0,1,2,3,6,-3,1,Eliminated,
Russia 2018,A,1,Uruguay,3,3,0,0,5,0,+5,9,Advance to knockout stage,
Russia 2018,A,2,Russia,3,2,0,1,8,4,+4,6,Advance to knockout stage,
Russia 2018,A,3,Saudi Arabia,3,1,0,2,2,7,-5,3,Eliminated,
Russia 2018,A,4,Egypt,3,0,0,3,2,6,-4,0,Eliminated,
Russia 2018,B,1,Spain,3,1,2,0,6,5,+1,5,Advance to knockout stage,
Russia 2018,B,2,Portugal,3,1,2,0,5,4,+1,5,Advance to knockout stage,
Russia 2018,B,3,Iran,3,1,1,1,2,2,0,4,Eliminated,
Russia 2018,B,4,Morocco,3,0,1,2,2,4,-2,1,Eliminated,
Russia 2018,C,1,France,3,2,1,0,3,1,+2,7,Advance to knockout stage,
Russia 2018,C,2,Denmark,3,1,2,0,2,1,+1,5,Advance to knockout stage,
Russia 2018,C,3,Peru,3,1,0,2,2,2,0,3,Eliminated,
Russia 2018,C,4,Australia,3,0,1,2,2,5,-3,1,Eliminated,
Russia 2018,D,1,Croatia,3,3,0,0,7,1,+6,9,Advance to knockout stage,
Russia 2018,D,2,Argentina,3,1,1,1,3,5,-2,4,Advance to knockout stage,
Russia 2018,D,3,Nigeria,3,1,0,2,3,4,-1,3,Eliminated,
Russia 2018,D,4,Iceland,3,0,1,2,2,5,-3,1,Eliminated,
Russia 2018,E,1,Brazil,3,2,1,0,5,1,+4,7,Advance to knockout stage,
Russia 2018,E,2,Switzerland,3,1,2,0,5,4,+1,5,Advance to knockout stage,
Russia 2018,E,3,Serbia,3,1,0,2,2,4,-2,3,Eliminated,
Russia 2018,E,4,Costa Rica,3,0,1,2,2,5,-3,1,Eliminated,
Russia 2018,F,1,Sweden,3,2,0,1,5,2,+3,6,Advance to knockout stage,
Russia 2018,F,2,Mexico,3,2,0,1,3,4,-1,6,Advance to knockout stage,
Russia 2018,F,3,South Korea,3,1,0,2,3,3,0,3,Eliminated,
Russia 2018,F,4,Germany,3,1,0,2,2,4,-2,3,Eliminated,
Russia 2018,G,1,Belgium,3,3,0,0,9,2,+7,9,Advance to knockout stage,
Russia 2018,G,2,England,3,2,0,1,8,3,+5,6,Advance to knockout stage,
Russia 2018,G,3,Tunisia,3,1,0,2,5,8,-3,3,Eliminated,
Russia 2018,G,4,Panama,3,0,0,3,2,11,-9,0,Eliminated,
Russia 2018,H,1,Colombia,3,2,0,1,5,2,+3,6,Advance to knockout stage,
Russia 2018,H,2,Japan,3,1,1,1,4,4,0,4,Advance to knockout stage (Fair Play Points),
Russia 2018,H,3,Senegal,3,1,1,1,4,4,0,4,Eliminated (Fair Play Points),
Russia 2018,H,4,Poland,3,1,0,2,2,5,-3,3,Eliminated,
Quatar 2022,A,1,Netherlands,3,2,1,0,5,1,+4,7,Advanced to knockout stage,
Quatar 2022,A,2,Senegal,3,2,0,1,5,4,+1,6,Advanced to knockout stage,
Quatar 2022,A,3,Ecuador,3,1,1,1,4,3,+1,4,Eliminated,
Quatar 2022,A,4,Qatar,3,0,0,3,1,7,-6,0,Eliminated,
Quatar 2022,B,1,England,3,2,1,0,9,2,+7,7,Advanced to knockout stage,
Quatar 2022,B,2,United States,3,1,2,0,2,1,+1,5,Advanced to knockout stage,
Quatar 2022,B,3,Iran,3,1,0,2,4,7,-3,3,Eliminated,
Quatar 2022,B,4,Wales,3,0,1,2,1,6,-5,1,Eliminated,
Quatar 2022,C,1,Argentina,3,2,0,1,5,2,+3,6,Advanced to knockout stage,
Quatar 2022,C,2,Poland,3,1,1,1,2,2,0,4,Advanced to knockout stage,
Quatar 2022,C,3,Mexico,3,1,1,1,2,3,-1,4,Eliminated,
Quatar 2022,C,4,Saudi Arabia,3,1,0,2,3,5,-2,3,Eliminated,
Quatar 2022,D,1,France,3,2,0,1,6,3,+3,6,Advanced to knockout stage,
Quatar 2022,D,2,Australia,3,2,0,1,3,4,-1,6,Advanced to knockout stage,
Quatar 2022,D,3,Tunisia,3,1,1,1,1,1,0,4,Eliminated,
Quatar 2022,D,4,Denmark,3,0,1,2,1,3,-2,1,Eliminated,
Quatar 2022,E,1,Japan,3,2,0,1,4,3,+1,6,Advanced to knockout stage,
Quatar 2022,E,2,Spain,3,1,1,1,9,3,+6,4,Advanced to knockout stage,
Quatar 2022,E,3,Germany,3,1,1,1,6,5,+1,4,Eliminated,
Quatar 2022,E,4,Costa Rica,3,1,0,2,3,11,-8,3,Eliminated,
Quatar 2022,F,1,Morocco,3,2,1,0,4,1,+3,7,Advanced to knockout stage,
Quatar 2022,F,2,Croatia,3,1,2,0,4,1,+3,5,Advanced to knockout stage,
Quatar 2022,F,3,Belgium,3,1,1,1,1,2,-1,4,Eliminated,
Quatar 2022,F,4,Canada,3,0,0,3,2,7,-5,0,Eliminated,
Quatar 2022,G,1,Brazil,3,2,0,1,3,1,+2,6,Advanced to knockout stage,
Quatar 2022,G,2,Switzerland,3,2,0,1,4,3,+1,6,Advanced to knockout stage,
Quatar 2022,G,3,Cameroon,3,1,1,1,4,4,0,4,Eliminated,
Quatar 2022,G,4,Serbia,3,0,1,2,5,8,-3,1,Eliminated,
Quatar 2022,H,1,Portugal,3,2,0,1,6,4,+2,6,Advanced to knockout stage,
Quatar 2022,H,2,South Korea,3,1,1,1,4,4,0,4,Advanced to knockout stage,
Quatar 2022,H,3,Uruguay,3,1,1,1,2,2,0,4,Eliminated,
Quatar 2022,H,4,Ghana,3,1,0,2,5,7,-2,3,Eliminated,
